text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,style_cluster_id,numbering_info,hierarchy_level
RFP: Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library,"[0, 0, 100, 20]",1,28.02,18,0,0.0475,0.1111111111111111,0.6666666666666666,0,0,-20.0,0.0,1,0,8.04,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,,Title
Ontario’s Digital Library,"[0, 0, 100, 20]",2,20.04,3,0,0.0115,0.2,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,,H1
A Critical Component for Implementing Ontario’s Road Map to Prosperity Strategy,"[0, 0, 100, 20]",2,15.96,11,0,0.0345,0.0769230769230769,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,2,,H2
Summary,"[0, 0, 100, 20]",2,12.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,,H3
Timeline:,"[0, 0, 100, 20]",2,11.04,1,0,0.0045,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,3,,H3
Background,"[0, 0, 100, 20]",3,12.0,1,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,,H3
Equitable access for all Ontarians:,"[0, 0, 100, 20]",4,11.04,5,0,0.0155,0.0,0.4,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,3,,H3
Shared decision-making and accountability:,"[0, 0, 100, 20]",4,11.04,4,0,0.0195,0.25,0.2,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,4,,H3
Shared governance structure:,"[0, 0, 100, 20]",4,11.04,3,0,0.013,0.3333333333333333,0.3333333333333333,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,5,,H3
Shared funding:,"[0, 0, 100, 20]",4,11.04,2,0,0.007,0.5,0.5,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,6,,H3
Local points of entry:,"[0, 0, 100, 20]",5,11.04,4,0,0.0095,0.0,0.25,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,3,,H3
Access:,"[0, 0, 100, 20]",5,11.04,1,0,0.0035,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,3,,H3
Guidance and Advice:,"[0, 0, 100, 20]",5,11.04,3,0,0.009,0.0,0.6666666666666666,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,3,,H3
Training:,"[0, 0, 100, 20]",5,11.04,1,0,0.0045,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,3,,H3
Provincial Purchasing & Licensing:,"[0, 0, 100, 20]",5,11.04,4,0,0.0155,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,3,,H3
Technological Support:,"[0, 0, 100, 20]",5,11.04,2,0,0.0105,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,3,,H3
What could the ODL really mean?,"[0, 0, 100, 20]",5,11.04,6,0,0.013,0.1666666666666666,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,7,,H3
For each Ontario citizen it could mean:,"[0, 0, 100, 20]",5,11.04,7,0,0.0165,0.2857142857142857,0.2857142857142857,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,8,,H3
For each Ontario student it could mean:,"[0, 0, 100, 20]",5,11.04,7,0,0.0165,0.1428571428571428,0.2857142857142857,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,7,,H3
For each Ontario library it could mean:,"[0, 0, 100, 20]",6,11.04,7,0,0.0165,0.2857142857142857,0.2857142857142857,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,8,,H3
For the Ontario government it could mean:,"[0, 0, 100, 20]",6,11.04,7,0,0.0175,0.1428571428571428,0.2857142857142857,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,7,,H3
The Business Plan to be Developed,"[0, 0, 100, 20]",6,12.0,6,0,0.014,0.3333333333333333,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,9,,H3
Milestones,"[0, 0, 100, 20]",7,12.0,1,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,,H3
Approach and Specific Proposal Requirements,"[0, 0, 100, 20]",7,12.0,5,0,0.0195,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,,H3
Evaluation and Awarding of Contract,"[0, 0, 100, 20]",8,12.0,5,0,0.0155,0.0,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,,H3
Appendix A: ODL Envisioned Phases & Funding,"[0, 0, 100, 20]",9,12.0,7,0,0.0185,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'keyword', 'depth': 1}",H3
Phase I: Business Planning,"[0, 0, 100, 20]",9,9.96,4,0,0.0115,0.25,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,10,,H4
Phase II: Implementing and Transitioning,"[0, 0, 100, 20]",9,9.96,5,0,0.018,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,,H4
Phase III: Operating and Growing the ODL,"[0, 0, 100, 20]",9,9.96,7,0,0.017,0.1428571428571428,0.7142857142857143,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,11,,H4
OVERVIEW OF ODL FUNDING MODEL,"[0, 0, 100, 20]",10,9.96,5,1,0.0125,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,12,,H4
Appendix B: ODL Steering Committee Terms of Reference,"[0, 0, 100, 20]",11,12.0,8,0,0.023,0.0,0.875,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'keyword', 'depth': 1}",H3
1. Preamble,"[0, 0, 100, 20]",11,9.96,2,0,0.005,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'numeric', 'depth': 1}",H3
2. Terms of Reference,"[0, 0, 100, 20]",11,9.96,4,0,0.009,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'numeric', 'depth': 1}",H3
3. Membership,"[0, 0, 100, 20]",11,9.96,2,0,0.006,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'numeric', 'depth': 1}",H3
4. Appointment Criteria and Process,"[0, 0, 100, 20]",12,9.96,5,0,0.0155,0.0,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'numeric', 'depth': 1}",H3
5. Term,"[0, 0, 100, 20]",12,9.96,2,0,0.003,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'numeric', 'depth': 1}",H3
6. Chair,"[0, 0, 100, 20]",12,9.96,2,0,0.0035,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'numeric', 'depth': 1}",H3
7. Meetings,"[0, 0, 100, 20]",12,9.96,2,0,0.005,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'numeric', 'depth': 1}",H3
8. Lines of Accountability and Communication,"[0, 0, 100, 20]",12,9.96,6,0,0.0195,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'numeric', 'depth': 1}",H3
9. Financial and Administrative Policies,"[0, 0, 100, 20]",13,9.96,5,0,0.018,0.0,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'numeric', 'depth': 1}",H3
Appendix C: ODL’s Envisioned Electronic Resources,"[0, 0, 100, 20]",14,12.0,6,0,0.022,0.0,0.8571428571428571,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,3,"{'type': 'keyword', 'depth': 1}",H3
