text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
1 teaspoon thyme 1 teaspoon rosemary 1/4 cup olive oil Salt and pepper to taste,"[0, 0, 100, 20]",1,12,15,0,0.0325,0,0.0625,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Preheat oven to 375°F 190°C. In a large baking dish, layer diced eggplant, zucchini, bell pepper, onion, and tomatoes. In a bowl, mix minced garlic, olive oil, thyme, rosemary, salt, and pepper. Pour the mixture over the vegetables and toss to coat. Bake for 45 minutes until vegetables are tender. Serve warm.","[0, 0, 100, 20]",1,12,52,0,0.1295,0,0.148148148,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Roast Chicken,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 whole chicken 1 lemon, halved 4 cloves garlic, minced 1/4 cup olive oil 1 tablespoon fresh rosemary, chopped 1 tablespoon fresh thyme, chopped Salt and pepper to taste","[0, 0, 100, 20]",1,12,29,0,0.0705,0,0.033333333,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Preheat oven to 375°F 190°C. Season the chicken with salt and pepper. Stuff the cavity with lemon halves and minced garlic. In a bowl, mix olive oil, chopped rosemary, and chopped thyme. Brush the mixture over the chicken. Place the chicken in a roasting pan and roast for 1 hour and 30 minutes until cooked through. Let rest before carving and serving.","[0, 0, 100, 20]",1,12,62,0,0.146,0,0.140625,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Shrimp and Grits,"[0, 0, 100, 20]",1,12,3,0,0.007,0,0.666666667,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound shrimp, peeled and deveined 1 cup grits 4 cups water 1/2 cup cheddar cheese, shredded 1/4 cup butter 1 small onion, diced 2 cloves garlic, minced","[0, 0, 100, 20]",1,12,28,0,0.063,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"1/4 cup bacon, chopped 1/4 cup green onions, sliced Salt and pepper to taste","[0, 0, 100, 20]",2,12,14,0,0.0315,0,0.0625,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a pot, bring water to a boil and stir in grits. Reduce heat and simmer until thickened, then stir in shredded cheddar cheese and butter. In a skillet, cook chopped bacon until crispy, then set aside. In the same skillet, sauté diced onion and minced garlic until softened. Add shrimp and cook until pink and opaque. Stir in cooked bacon and sliced green onions. Serve shrimp mixture over grits.","[0, 0, 100, 20]",2,12,70,0,0.164,0,0.1,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Spaghetti Carbonara,"[0, 0, 100, 20]",2,12,2,0,0.009,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound spaghetti 4 eggs 1 cup grated Parmesan cheese 1/2 cup pancetta, diced 2 cloves garlic, minced 1/4 cup heavy cream optional Salt and pepper to taste Chopped parsley for garnish","[0, 0, 100, 20]",2,12,32,0,0.076,0,0.088235294,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Cook spaghetti according to package instructions. In a skillet, cook diced pancetta until crispy, then set aside. In a bowl, whisk eggs, grated Parmesan cheese, and heavy cream if using. In the same skillet, sauté minced garlic until fragrant. Add cooked spaghetti and toss to coat. Remove from heat and quickly stir in the egg mixture, pancetta, salt, and pepper. Garnish with chopped parsley and serve.","[0, 0, 100, 20]",2,12,66,0,0.1695,0,0.121212121,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Stuffed Bell Peppers,"[0, 0, 100, 20]",2,12,3,0,0.009,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"4 bell peppers, tops cut off and seeds removed 1 pound ground beef 1 small onion, diced 2 cloves garlic, minced 1 cup cooked rice 1 can 14.5 ounces diced tomatoes","[0, 0, 100, 20]",2,12,31,0,0.066,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
1 cup shredded cheese 1 teaspoon oregano 1 teaspoon basil 2 tablespoons olive oil Salt and pepper to taste,"[0, 0, 100, 20]",3,12,19,0,0.044,0,0.052631579,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Sweet and Sour Pork,"[0, 0, 100, 20]",3,12,4,0,0.008,0,0.75,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound pork tenderloin, cubed 1 bell pepper, diced 1 small onion, diced 1/2 cup pineapple chunks 1/4 cup ketchup 1/4 cup rice vinegar 1/4 cup soy sauce 1/4 cup brown sugar 2 tablespoons cornstarch 2 tablespoons vegetable oil Cooked rice for serving","[0, 0, 100, 20]",3,12,43,0,0.1035,0,0.020833333,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a bowl, toss pork cubes with cornstarch. Heat vegetable oil in a skillet over medium heat. Cook pork until browned and crispy, then set aside. In the same skillet, sauté diced onion and bell pepper until softened. Stir in pineapple chunks, ketchup, rice vinegar, soy sauce, and brown sugar. Return pork to the skillet and toss to coat in the sauce. Serve over cooked rice.","[0, 0, 100, 20]",3,12,66,0,0.155,0,0.106060606,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Tandoori Chicken,"[0, 0, 100, 20]",3,12,2,0,0.0075,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"4 boneless, skinless chicken thighs 1 cup yogurt 2 tablespoons lemon juice 2 cloves garlic, minced 1 teaspoon grated ginger 1 teaspoon cumin 1 teaspoon coriander 1 teaspoon turmeric 1 teaspoon paprika 1 teaspoon garam masala","[0, 0, 100, 20]",3,12,36,0,0.0945,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
1/4 teaspoon cayenne pepper Salt and pepper to taste,"[0, 0, 100, 20]",4,12,9,0,0.022,0,0.1,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a bowl, mix yogurt, lemon juice, minced garlic, grated ginger, cumin, coriander, turmeric, paprika, garam masala, cayenne pepper, salt, and pepper. Marinate chicken thighs in the mixture for at least 1 hour. Preheat oven to 400°F 200°C. Place chicken on a baking sheet and bake for 25-30 minutes until cooked through. Serve warm.","[0, 0, 100, 20]",4,12,54,0,0.1395,0,0.122807018,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Thai Green Curry,"[0, 0, 100, 20]",4,12,3,0,0.007,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound chicken breast, cubed 1 small onion, diced 2 cloves garlic, minced 1 bell pepper, sliced 1 cup coconut milk 1/2 cup chicken broth 2 tablespoons green curry paste 1 tablespoon fish sauce 1 tablespoon brown sugar 1/4 cup fresh basil leaves 2 tablespoons vegetable oil Cooked rice for serving","[0, 0, 100, 20]",4,12,51,0,0.1235,0,0.018867925,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a large skillet, heat vegetable oil over medium heat. Cook diced onion and minced garlic until softened. Add cubed chicken and cook until browned. Stir in green curry paste, coconut milk, chicken broth, fish sauce, and brown sugar. Add sliced bell pepper and simmer for 15 minutes until chicken is cooked through. Stir in fresh basil leaves. Serve over cooked rice.","[0, 0, 100, 20]",4,12,62,0,0.1535,0,0.112903226,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Turkey Meatballs,"[0, 0, 100, 20]",4,12,2,0,0.0075,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound ground turkey 1 small onion, diced 2 cloves garlic, minced 1/4 cup breadcrumbs 1 egg, beaten","[0, 0, 100, 20]",4,12,18,0,0.0415,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
1/4 cup grated Parmesan cheese 1 teaspoon oregano 1 teaspoon basil Salt and pepper to taste 2 tablespoons olive oil 1 jar 24 ounces marinara sauce,"[0, 0, 100, 20]",5,12,26,0,0.0605,0,0.074074074,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a bowl, mix ground turkey, diced onion, minced garlic, breadcrumbs, beaten egg, grated Parmesan cheese, oregano, basil, salt, and pepper. Form mixture into meatballs. In a skillet, heat olive oil over medium heat. Cook meatballs until browned on all sides. Add marinara sauce and simmer for 20 minutes until meatballs are cooked through. Serve warm.","[0, 0, 100, 20]",5,12,56,0,0.1485,0,0.125,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Vegetable Stir-Fry,"[0, 0, 100, 20]",5,12,2,0,0.0085,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 cup broccoli florets 1 cup bell peppers, sliced 1 cup snow peas 1 small onion, diced 2 cloves garlic, minced 2 tablespoons soy sauce 1 tablespoon oyster sauce 1 tablespoon sesame oil 1 teaspoon cornstarch 1/4 cup water Cooked rice for serving","[0, 0, 100, 20]",5,12,43,0,0.101,0,0.022727273,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a small bowl, mix soy sauce, oyster sauce, sesame oil, cornstarch, and water. In a large skillet, heat sesame oil over medium heat. Sauté diced onion and minced garlic until fragrant. Add broccoli, bell peppers, and snow peas, stir-fry until tender. Pour sauce over the vegetables and cook until thickened. Serve over cooked rice.","[0, 0, 100, 20]",5,12,55,0,0.1395,0,0.107142857,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Vietnamese Pho,"[0, 0, 100, 20]",5,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound beef sirloin, thinly sliced 8 cups beef broth","[0, 0, 100, 20]",5,12,10,0,0.022,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"1 small onion, sliced 2 cloves garlic, minced 1 piece ginger, sliced 2 star anise 1 cinnamon stick 1 tablespoon fish sauce 1 tablespoon soy sauce 8 ounces rice noodles Fresh basil, cilantro, bean sprouts, lime wedges, and sliced jalapeños for garnish","[0, 0, 100, 20]",6,12,42,0,0.1045,0,0.023809524,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a large pot, bring beef broth to a boil. Add sliced onion, minced garlic, sliced ginger, star anise, and cinnamon stick. Simmer for 30 minutes. Stir in fish sauce and soy sauce. Cook rice noodles according to package instructions. Divide noodles and thinly sliced beef among bowls. Pour hot broth over the top. Garnish with fresh basil, cilantro, bean sprouts, lime wedges, and sliced jalapeños. Serve immediately.","[0, 0, 100, 20]",6,12,68,0,0.175,0,0.132352941,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Yakitori,"[0, 0, 100, 20]",6,12,1,0,0.004,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound chicken thighs, cut into bite-sized pieces 1/4 cup soy sauce 1/4 cup mirin 1/4 cup sake 2 tablespoons sugar Bamboo skewers Sliced green onions for garnish","[0, 0, 100, 20]",6,12,28,0,0.0675,0,0.0625,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a bowl, mix soy sauce, mirin, sake, and sugar. Marinate chicken pieces in the mixture for at least 30 minutes. Thread chicken onto bamboo skewers. Preheat grill to medium-high heat. Grill chicken, brushing with marinade, until cooked through. Garnish with sliced green onions and serve.","[0, 0, 100, 20]",6,12,46,0,0.122,0,0.127659574,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Zucchini Noodles with Pesto,"[0, 0, 100, 20]",6,12,4,0,0.012,0,0.75,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"4 zucchinis, spiralized into noodles","[0, 0, 100, 20]",6,12,5,0,0.016,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"1/2 cup basil pesto 1/4 cup cherry tomatoes, halved 1/4 cup grated Parmesan cheese 2 tablespoons olive oil Salt and pepper to taste","[0, 0, 100, 20]",7,12,23,0,0.0545,0,0.076923077,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a large skillet, heat olive oil over medium heat. Add zucchini noodles and cook until tender. Stir in basil pesto and cherry tomatoes. Season with salt and pepper. Sprinkle with grated Parmesan cheese and serve.","[0, 0, 100, 20]",7,12,36,0,0.0895,0,0.166666667,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Beef and Broccoli,"[0, 0, 100, 20]",7,12,3,0,0.0075,0,0.666666667,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound beef sirloin, thinly sliced 2 cups broccoli florets 1 small onion, diced 2 cloves garlic, minced 1/4 cup soy sauce 1/4 cup beef broth 2 tablespoons oyster sauce 1 tablespoon cornstarch 2 tablespoons vegetable oil Cooked rice for serving","[0, 0, 100, 20]",5,12,41,0,0.102,0,0.023255814,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a small bowl, mix soy sauce, beef broth, oyster sauce, and cornstarch. In a large skillet, heat vegetable oil over medium heat. Cook sliced beef until browned, then set aside. In the same skillet, sauté diced onion and minced garlic until fragrant. Add broccoli florets and stir-fry until tender. Return beef to the skillet and pour sauce over the top. Cook until sauce is thickened. Serve over cooked rice.","[0, 0, 100, 20]",7,12,70,0,0.1705,0,0.112676056,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Chicken Fajitas,"[0, 0, 100, 20]",7,12,2,0,0.007,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound chicken breast, sliced 1 bell pepper, sliced 1 small onion, sliced 2 tablespoons fajita seasoning","[0, 0, 100, 20]",7,12,17,0,0.0445,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"2 tablespoons vegetable oil Tortillas for serving Shredded lettuce, diced tomatoes, shredded cheese, sour cream, and salsa for toppings","[0, 0, 100, 20]",3,12,19,0,0.0585,0,0.105263158,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
