text,bbox,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
1. Make the desired changes in the app. Bear in mind the following:,"[0, 0, 100, 20]",12,13,0,0.0275,0.07692307692307693,0.15384615384615385,1.67,54,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"If you change the dimensions of the image, the image may not align correctly in the PDF.","[100, 0, 200, 20]",12,17,0,0.036,0.11764705882352941,0.11764705882352941,0.835,27,0.5,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Transparency information is preserved only for masks that are specified as index values in an indexed color space.,"[100, 0, 200, 20]",12,18,0,0.0485,0.2222222222222222,0.05555555555555555,0.5,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"If you're working in Photoshop, flatten the image.","[100, 0, 200, 20]",12,8,0,0.0215,0.3333333333333333,0.2222222222222222,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Image masks aren't supported.,"[100, 0, 200, 20]",12,4,0,0.013,0.4,0.2,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"If you change image modes while editing the image, you may lose valuable information that can be applied only in the original mode.","[100, 0, 200, 20]",12,23,0,0.0545,0.21739130434782608,0.043478260869565216,0.5,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"2. In the editing app, choose File   - Save . The object is automatically updated and displayed in the PDF when you bring Acrobat to the foreground.","[100, 0, 200, 20]",12,27,0,0.06,0.16,0.24,2.655,-18,0,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Note: For Photoshop, if the image is in a format supported by Photoshop 6.0 or later, your edited image is saved back into the PDF. However, if the image is in an unsupported format, Photoshop handles the image as a generic PDF image. The edited image is saved to disk instead of the PDF.","[100, 0, 200, 20]",12,54,0,0.1175,0.16666666666666666,0.18181818181818182,0.4225,-9,0.75,0.75,0,0.5,0.25,0,0,0.5,1,1,0.25,0.5,0,0,0,1,0,0,0,1,0
Export PDF images to another format,"[100, 0, 200, 20]",16.02,6,0,0.015,0.16666666666666666,0.3333333333333333,4.37,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"You can save every page all text, images, and vector objects on a page to an image format. Choose Convert - Export PDF To - Image format - Image Type. You can also export each image in a PDF to a separate image file.","[100, 0, 200, 20]",12,44,0,0.0865,0.04878048780487805,0.2682926829268293,0.5667,0,1,0.3333,-1.34,0.6667,0.3333,0,0,0.6667,1,1,0.3333,0.3333,0,0,0,1,0.3333,0,0,0.6667,0
"Rotate, move, delete, extract, or renumber pages in a PDF","[0, 0, 100, 20]",24,10,0,0.024,0.1,0.2,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1
Rotate pages in a PDF,"[100, 0, 200, 20]",24,5,0,0.0085,0,0.4,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1
You can rotate all or select pages in a document. Rotation is based on 90-degree increments. You can rotate pages using the rotate tools in the Page Thumbnails pane or the Rotate option.,"[100, 0, 200, 20]",12,33,0,0.077,0.15151515151515152,0.17647058823529413,4.0767,0,1,0.3333,-4,0.6667,0.3333,0,0,0.6667,1,1,0.3333,0.3333,0,0,0,1,0.3333,0,0,0.6667,0
"1. Open the PDF in Acrobat, choose All tools    - Organize pages.","[100, 0, 200, 20]",12,12,0,0.0255,0.18181818181818182,0.45454545454545453,1.98,18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"2. From the left pane, specify the page range on which you want to apply the rotation. Select the drop-down menu under PAGES SELECTED, then select the appropriate option. Alternatively, you can enter the page number you want to operate on.","[100, 0, 200, 20]",12,41,0,0.0995,0.1951219512195122,0.11904761904761904,0.6567,6,0.6667,0,0,1,0,0,0,1,1,1,0.6667,0.3333,0,0,0,1,0,0,0,1,0
"3. After specifying the page range, for Direction, select either Rotate page left for counterclockwise 90° rotation or Rotate page right° for clockwise 90° rotation .","[100, 0, 200, 20]",12,26,0,0.0705,0.12,0.16,2.17,85.38,0,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
4. You can also apply the page rotation on a specific page by selecting the buttons in the right pane.,"[100, 0, 200, 20]",12,20,0,0.0415,0.1,0.05,0.97,-85.38,0,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Note: To temporarily change your view of the page, from the hamburger menu Windows or the View menu macOS, choose View - Rotate view - Rotate view right or Rotate view left . The original page orientation is restored the next time you open the PDF.","[100, 0, 200, 20]",12,46,0,0.1015,0.13953488372093023,0.23255813953488372,19.8733,-12,0.6667,0,0,0,0.3333,0,0,0,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
Extract pages from a PDF,"[0, 0, 100, 20]",24,5,0,0.01,0,0.4,2,0,1,0,-12,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
"Extraction is reusing selected pages of one PDF in a different PDF. Extracted pages include the content and the form fields, comments, and links of the original document.","[100, 0, 200, 20]",12,28,0,0.0715,0.17857142857142858,0.14285714285714285,1.005,0,1,0,-6,0,0.5,0.5,0,0.5,0,1,0,0.5,0,0,0,1,0.5,0,0,0.5,0
You can leave the extracted pages in the original document or remove them during extraction.,"[100, 0, 200, 20]",12,15,0,0.039,0.13333333333333333,0.06666666666666667,0.5,0,1,1,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Note: Any bookmarks or article threadings associated with pages aren't extracted.,"[100, 0, 200, 20]",12,11,0,0.0355,0.25,0.16666666666666666,1.87,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"1. Open the PDF in Acrobat. From the upper left, select All Tools    - Organize pages.","[100, 0, 200, 20]",12,16,0,0.034,0.13333333333333333,0.4666666666666667,1.89,18,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"2. Specify the page range or the pages you want to extract. Select the drop-down menu under PAGES SELECTED, then select the appropriate option. Alternatively, you can enter the page number you want to operate on.","[100, 0, 200, 20]",12,36,0,0.0885,0.2222222222222222,0.13513513513513514,0.34,6,0.6667,0,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
3. Select Extract pages under PAGE OPTIONS .,"[100, 0, 200, 20]",12,8,0,0.0185,0,0.5714285714285714,1.02,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"4. In the dialog, select one or more of the following before you select Extract :","[100, 0, 200, 20]",12,16,0,0.033,0.2,0.13333333333333333,1.02,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"To remove the extracted pages from the original document, select Delete pages after extracting .","[100, 0, 200, 20]",12,15,0,0.041,0.14285714285714285,0.14285714285714285,1.37,27,0.5,0.5,0,0.5,0,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"To create a single-page PDF for each extracted page, select Extract pages as separate files .","[100, 0, 200, 20]",12,16,0,0.039,0.06666666666666667,0.1875,0.315,0,1,0.5,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"To keep the original pages intact and create a single PDF for the extracted pages, deselect both options.","[100, 0, 200, 20]",12,18,0,0.044,0.16666666666666666,0.1111111111111111,0.305,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
The extracted pages are placed in a new document.,"[100, 0, 200, 20]",12,9,0,0.0205,0.2222222222222222,0.1111111111111111,1,-72,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Note: The creator of a PDF document can set the security to prevent the extraction of pages. To view the security settings for a document, choose Document properties from the hamburger menu Windows or File menu in macOS and then select the Security tab in the dialog.","[100, 0, 200, 20]",12,47,0,0.1105,0.10638297872340426,0.1702127659574468,0.4825,0,0.5,0,0,0.5,0.25,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Extract random pages from a PDF,"[100, 0, 200, 20]",16.02,6,0,0.013,0,0.3333333333333333,4.48,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
You can also select and extract discontinuous pages from the page thumbnails in the right navigation pane of Acrobat.,"[100, 0, 200, 20]",12,19,0,0.0495,0.15789473684210525,0.10526315789473684,0.5,0,1,0.5,-2.01,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0.5,0,0,0.5,0
"2. Specify the pages which you want to extract separated with a comma. For example, if you want to extract pages 3 and 5, enter 3, 5 in the pages field under PAGES SELECTED.","[100, 0, 200, 20]",12,34,0,0.07,0.17647058823529413,0.11764705882352941,0.3333,6,0.6667,0.3333,0,1,0,0,0,1,1,1,0.3333,0.3333,0,0,0,1,0,0,0,1,0
Select the Extract pages under PAGE OPTIONS .,"[0, 0, 100, 20]",12,8,0,0.019,0.14285714285714285,0.5714285714285714,1613.56,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"3. In the dialog, select one or more of the following before you select Extract :","[100, 0, 200, 20]",12,16,0,0.033,0.2,0.13333333333333333,1613.56,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Split PDFs into multiple documents,"[0, 0, 100, 20]",24,5,0,0.015,0,0.4,1.97,0,1,1,-12,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
"You can split one or more PDFs into multiple smaller PDFs. When splitting a PDF, you can specify the split by the maximum number of pages, maximum file size, or top-level bookmarks.","[100, 0, 200, 20]",12,32,0,0.075,0.09375,0.15151515151515152,0.6567,0,1,1,-4,0.6667,0.3333,0,0,0.6667,1,1,0,0.6667,0,0,0,1,0.3333,0,0,0.6667,0
"2. In the left pane, under PAGE OPTIONS, select Split. A command dialog appears for the Split operation.","[100, 0, 200, 20]",12,18,0,0.0435,0.05555555555555555,0.3333333333333333,0.5,9,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"3. In the Split By list, select the criteria for dividing the document:","[100, 0, 200, 20]",12,13,0,0.0295,0.15384615384615385,0.23076923076923078,1,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Number of pages,"[100, 0, 200, 20]",12,3,0,0.0065,0,0.3333333333333333,3.66,18,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Specify the maximum number of pages for each document in the split.,"[100, 0, 200, 20]",12,12,0,0.028,0.08333333333333333,0.08333333333333333,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
File Size,"[100, 0, 200, 20]",12,2,0,0.004,0,1,3.65,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Specify the maximum file size for each document in the split.,"[100, 0, 200, 20]",12,11,0,0.0255,0.09090909090909091,0.09090909090909091,0.01,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Top-level Bookmarks,"[100, 0, 200, 20]",12,2,0,0.009,0,0.6666666666666666,3.65,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"If the document includes bookmarks, it creates one document for every top-level bookmark.","[100, 0, 200, 20]",12,13,0,0.0385,0.15384615384615385,0.07142857142857142,0,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0,0,0,1,0
"4. To specify a target folder for the split files and filename preferences, select Output Options . Specify the options as needed, and then select OK .","[100, 0, 200, 20]",12,27,0,0.0625,0.16,0.2,0.5,0,0,0,0,0.5,0,0,0,0.5,1,1,0.5,0,0,0,0,1,0,0,0,1,0
5. Select Split .,"[100, 0, 200, 20]",12,4,0,0.007,0,0.6666666666666666,1.01,-18,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Split multiple PDFs,"[100, 0, 200, 20]",16.02,3,0,0.0085,0,0.6666666666666666,3.57,-18,0,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
"3. In the Split by list, select the criteria for dividing the document:","[100, 0, 200, 20]",12,13,0,0.0295,0.15384615384615385,0.15384615384615385,1,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"5. Select Split multiple files . Select Add Files, and choose Add Files, Add Folders, or Add Open Files . Select the files or folder, and then select OK . Select Split .","[100, 0, 200, 20]",12,33,0,0.0685,0.10344827586206896,0.5517241379310345,32.645,0,0,0,0,0.5,0.5,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Move or copy pages in a PDF,"[0, 0, 100, 20]",24,7,0,0.0105,0,0.2857142857142857,111.38,0,1,0,-12,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
"To copy or move pages within a document, use the page thumbnails in the right navigation pane or the document area. You can also transfer pages between documents using these thumbnails. In the Organize Pages view, drag and drop thumbnails to rearrange pages, or select a thumbnail and copy it as needed.","[100, 0, 200, 20]",12,52,0,0.126,0.17307692307692307,0.09615384615384616,27.845,0,1,0.75,-3,0.75,0.25,0,0,0.75,1,1,0,0.75,0,0,0,1,0.25,0,0,0.75,0
Move or copy a page,"[100, 0, 200, 20]",16.02,5,0,0.0075,0,0.2,200.65,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"1. Open the PDF in Acrobat, and select All tools    - Organize pages . The page thumbnails are displayed in the Document area.","[100, 0, 200, 20]",12,23,0,0.0505,0.19047619047619047,0.3333333333333333,0.5,18,0,0,-2.01,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0.5,0,0,0.5,0
2. Select one or more page thumbnails.,"[100, 0, 200, 20]",12,7,0,0.016,0,0.14285714285714285,55.51,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
3. Do one of the following:,"[100, 0, 200, 20]",12,6,0,0.011,0.16666666666666666,0.16666666666666666,55.51,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"To move a page, drag the corresponding page thumbnail to the new location. A bar will appear to show the new position of the page thumbnail. The pages will be renumbered.","[100, 0, 200, 20]",12,31,0,0.07,0.1935483870967742,0.0967741935483871,68.9867,18,0.6667,0.6667,0,1,0,0,0,1,1,1,0.6667,0.3333,0,0,0,1,0,0,0,1,0
"To cut or copy a page, select the page, and then select the ellipsis icon in the context menu bar displayed next to it. Select Cut or Copy from the context menu. Select between the page thumbnails where you want to paste the page. A blue horizontal marker shows the selected location where you want to paste. Select Paste from the context menu. You can paste the pages in another PDF as well.","[100, 0, 200, 20]",12,73,0,0.16,0.1780821917808219,0.136986301369863,5.8483,0,1,0.6667,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Note: You can also move or copy pages by selecting the Page Thumbnails button from the right pane.,"[100, 0, 200, 20]",12,18,0,0.0405,0.1111111111111111,0.2222222222222222,50.76,-36,0.5,0,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Copy a page between two PDFs,"[100, 0, 200, 20]",16.02,6,0,0.0115,0.16666666666666666,0.3333333333333333,145.58,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
1. Open both PDFs and display them alongside each other.,"[100, 0, 200, 20]",12,10,0,0.0235,0.1,0.2,0.11,18,0,0,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"To display the PDFs side by side, select Window from the hamburger menu Windows or the Window menu macOS. Then select Tile    - Vertically .","[100, 0, 200, 20]",12,25,0,0.0565,0.13043478260869565,0.34782608695652173,76.835,30.93,0,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
2. Select All tools   - Organize pages . The page thumbnails are displayed in the Document area.,"[100, 0, 200, 20]",12,17,0,0.039,0.2,0.3333333333333333,28.2,-21.93,0,0,0,1,0,0,0,1,1,1,0.5,0,0,0,0,1,0,0,0,1,0
"3. Select the page thumbnail of the page you want to cut or copy. To select multiple pages, press Ctrl Windows or command macOS and then select the pages. From the page thumbnail context menu, select Copy .","[100, 0, 200, 20]",12,38,0,0.0845,0.1891891891891892,0.16216216216216217,18.8,0,0.3333,0.3333,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
"4. In the page thumbnails of the target PDF, select between the page thumbnails where you want to insert the page. A blue horizontal marker indicates the location where you want to paste. Right-select and choose Paste .","[0, 0, 200, 20]",12,38,0,0.0455,0.16216216216216217,0.13157894736842105,0.3333,12,0.3333,0.3333,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"The page is copied into the document, and the pages are renumbered. You can paste the pages in another PDF as well. Alternatively, you can also drag the page thumbnail into the Page Thumbnails panel of the target PDF.","[100, 0, 200, 20]",12,39,0,0.0895,0.15384615384615385,0.1794871794871795,21.1667,0,1,0.6667,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
Delete or replace pages in a PDF,"[0, 0, 100, 20]",24,7,0,0.013,0.14285714285714285,0.2857142857142857,124.97,0,1,0,-12,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
