text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
A Culinary Journey Through the South of France,A Culinary Journey Through the South of France,Introduction,Introduction,4.43,0,1,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Introduction,Introduction,"The South of France, known for its stunning landscapes and charming villages, is also a","The South of France, known for its stunning landscapes and charming villages, is also a",4.4,0,1,0,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"The South of France, known for its stunning landscapes and charming villages, is also a","The South of France, known for its stunning landscapes and charming villages, is also a","paradise for food lovers. The region's cuisine is a delightful blend of Mediterranean flavors,","paradise for food lovers. The region's cuisine is a delightful blend of Mediterranean flavors,",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"paradise for food lovers. The region's cuisine is a delightful blend of Mediterranean flavors,","paradise for food lovers. The region's cuisine is a delightful blend of Mediterranean flavors,","fresh ingredients, and traditional recipes passed down through generations. This guide will","fresh ingredients, and traditional recipes passed down through generations. This guide will",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"fresh ingredients, and traditional recipes passed down through generations. This guide will","fresh ingredients, and traditional recipes passed down through generations. This guide will","take you through the different types of food, famous dishes, must-visit restaurants, renowned","take you through the diﬀerent types of food, famous dishes, must-visit restaurants, renowned",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"take you through the different types of food, famous dishes, must-visit restaurants, renowned","take you through the diﬀerent types of food, famous dishes, must-visit restaurants, renowned","wine regions, and the types of wines they produce to help you plan an unforgettable culinary","wine regions, and the types of wines they produce to help you plan an unforgettable culinary",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"wine regions, and the types of wines they produce to help you plan an unforgettable culinary","wine regions, and the types of wines they produce to help you plan an unforgettable culinary",adventure.,adventure.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
Types of Food,Types of Food,"The cuisine in the South of France is diverse, reflecting the region's rich history and cultural","The cuisine in the South of France is diverse, reflecting the region's rich history and cultural",4.43,0,1,0,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"The cuisine in the South of France is diverse, reflecting the region's rich history and cultural","The cuisine in the South of France is diverse, reflecting the region's rich history and cultural",influences. Here are some key types of food you can expect to find:,influences. Here are some key types of food you can expect to find:,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
influences. Here are some key types of food you can expect to find:,influences. Here are some key types of food you can expect to find:,"Seafood: With its extensive coastline, the South of France offers an abundance of fresh","Seafood: With its extensive coastline, the South of France oﬀers an abundance of fresh",4.41,36,0,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Seafood: With its extensive coastline, the South of France offers an abundance of fresh","Seafood: With its extensive coastline, the South of France oﬀers an abundance of fresh","seafood. Look for dishes featuring fish, shellfish, and crustaceans, often prepared with","seafood. Look for dishes featuring fish, shellfish, and crustaceans, often prepared with",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"seafood. Look for dishes featuring fish, shellfish, and crustaceans, often prepared with","seafood. Look for dishes featuring fish, shellfish, and crustaceans, often prepared with","Mediterranean herbs and olive oil. Popular seafood dishes include grilled sardines, sea","Mediterranean herbs and olive oil. Popular seafood dishes include grilled sardines, sea",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Mediterranean herbs and olive oil. Popular seafood dishes include grilled sardines, sea","Mediterranean herbs and olive oil. Popular seafood dishes include grilled sardines, sea","bass, and mussels marinière. The region's proximity to the Mediterranean Sea ensures","bass, and mussels marinière. The region's proximity to the Mediterranean Sea ensures",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"bass, and mussels marinière. The region's proximity to the Mediterranean Sea ensures","bass, and mussels marinière. The region's proximity to the Mediterranean Sea ensures",that the seafood is always fresh and flavorful.,that the seafood is always fresh and flavorful.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
that the seafood is always fresh and flavorful.,that the seafood is always fresh and flavorful.,"Provençal Cuisine: This style of cooking emphasizes fresh vegetables, herbs, and olive","Provençal Cuisine: This style of cooking emphasizes fresh vegetables, herbs, and olive",4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Provençal Cuisine: This style of cooking emphasizes fresh vegetables, herbs, and olive","Provençal Cuisine: This style of cooking emphasizes fresh vegetables, herbs, and olive","oil. Ratatouille, a vegetable stew, and bouillabaisse, a fish soup, are quintessential","oil. Ratatouille, a vegetable stew, and bouillabaisse, a fish soup, are quintessential",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"oil. Ratatouille, a vegetable stew, and bouillabaisse, a fish soup, are quintessential","oil. Ratatouille, a vegetable stew, and bouillabaisse, a fish soup, are quintessential","Provençal dishes. Provençal cuisine also includes dishes like tapenade, a spread made","Provençal dishes. Provençal cuisine also includes dishes like tapenade, a spread made",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Provençal dishes. Provençal cuisine also includes dishes like tapenade, a spread made","Provençal dishes. Provençal cuisine also includes dishes like tapenade, a spread made","from olives, capers, and anchovies, and pissaladière, a savory tart topped with","from olives, capers, and anchovies, and pissaladière, a savory tart topped with",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"from olives, capers, and anchovies, and pissaladière, a savory tart topped with","from olives, capers, and anchovies, and pissaladière, a savory tart topped with","caramelized onions, olives, and anchovies.","caramelized onions, olives, and anchovies.",1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"caramelized onions, olives, and anchovies.","caramelized onions, olives, and anchovies.","Niçoise Cuisine: Originating from Nice, this cuisine includes dishes like Salade Niçoise,","Niçoise Cuisine: Originating from Nice, this cuisine includes dishes like Salade Niçoise,",4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Niçoise Cuisine: Originating from Nice, this cuisine includes dishes like Salade Niçoise,","Niçoise Cuisine: Originating from Nice, this cuisine includes dishes like Salade Niçoise,","a salad with tuna, olives, and anchovies, and Socca, a chickpea flour pancake. Other","a salad with tuna, olives, and anchovies, and Socca, a chickpea flour pancake. Other",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"a salad with tuna, olives, and anchovies, and Socca, a chickpea flour pancake. Other","a salad with tuna, olives, and anchovies, and Socca, a chickpea flour pancake. Other","Niçoise specialties include pan bagnat, a sandwich made with tuna, vegetables, and","Niçoise specialties include pan bagnat, a sandwich made with tuna, vegetables, and",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Niçoise specialties include pan bagnat, a sandwich made with tuna, vegetables, and","Niçoise specialties include pan bagnat, a sandwich made with tuna, vegetables, and","olive oil, and daube, a slow-cooked beef stew with red wine and vegetables.","olive oil, and daube, a slow-cooked beef stew with red wine and vegetables.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"olive oil, and daube, a slow-cooked beef stew with red wine and vegetables.","olive oil, and daube, a slow-cooked beef stew with red wine and vegetables.","Occitan Cuisine: This cuisine features hearty dishes like cassoulet, a slow-cooked","Occitan Cuisine: This cuisine features hearty dishes like cassoulet, a slow-cooked",4.41,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Occitan Cuisine: This cuisine features hearty dishes like cassoulet, a slow-cooked","Occitan Cuisine: This cuisine features hearty dishes like cassoulet, a slow-cooked","casserole with beans, sausage, and duck, and aligot, a cheesy mashed potato dish.","casserole with beans, sausage, and duck, and aligot, a cheesy mashed potato dish.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"casserole with beans, sausage, and duck, and aligot, a cheesy mashed potato dish.","casserole with beans, sausage, and duck, and aligot, a cheesy mashed potato dish.","Occitan cuisine also includes dishes like garbure, a thick soup made with cabbage,","Occitan cuisine also includes dishes like garbure, a thick soup made with cabbage,",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Occitan cuisine also includes dishes like garbure, a thick soup made with cabbage,","Occitan cuisine also includes dishes like garbure, a thick soup made with cabbage,","beans, and confit de canard duck confit, and brandade de morue, a creamy salt cod","beans, and confit de canard (duck confit), and brandade de morue, a creamy salt cod",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"beans, and confit de canard duck confit, and brandade de morue, a creamy salt cod","beans, and confit de canard (duck confit), and brandade de morue, a creamy salt cod",spread.,spread.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
spread.,spread.,"Basque Cuisine: Influenced by neighboring Spain, Basque cuisine includes dishes like","Basque Cuisine: Influenced by neighboring Spain, Basque cuisine includes dishes like",4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Basque Cuisine: Influenced by neighboring Spain, Basque cuisine includes dishes like","Basque Cuisine: Influenced by neighboring Spain, Basque cuisine includes dishes like","piperade, a pepper and tomato stew, and axoa, a veal stew with peppers. Basque","piperade, a pepper and tomato stew, and axoa, a veal stew with peppers. Basque",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"piperade, a pepper and tomato stew, and axoa, a veal stew with peppers. Basque","piperade, a pepper and tomato stew, and axoa, a veal stew with peppers. Basque","cuisine is also known for its pintxos, small snacks typically served in bars, and gâteau","cuisine is also known for its pintxos, small snacks typically served in bars, and gâteau",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"cuisine is also known for its pintxos, small snacks typically served in bars, and gâteau","cuisine is also known for its pintxos, small snacks typically served in bars, and gâteau","Basque, a traditional Basque cake filled with pastry cream or cherry jam.","Basque, a traditional Basque cake filled with pastry cream or cherry jam.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Famous Dishes,Famous Dishes,The South of France is home to many iconic dishes that you must try during your visit:,The South of France is home to many iconic dishes that you must try during your visit:,4.43,0,1,0,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
The South of France is home to many iconic dishes that you must try during your visit:,The South of France is home to many iconic dishes that you must try during your visit:,"Bouillabaisse: A traditional fish stew from Marseille, made with various types of fish,","Bouillabaisse: A traditional fish stew from Marseille, made with various types of fish,",4.41,36,0,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Bouillabaisse: A traditional fish stew from Marseille, made with various types of fish,","Bouillabaisse: A traditional fish stew from Marseille, made with various types of fish,","shellfish, and a flavorful broth seasoned with saffron and herbs. Bouillabaisse is","shellfish, and a flavorful broth seasoned with saﬀron and herbs. Bouillabaisse is",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"shellfish, and a flavorful broth seasoned with saffron and herbs. Bouillabaisse is","shellfish, and a flavorful broth seasoned with saﬀron and herbs. Bouillabaisse is","typically served with rouille, a garlicky mayonnaise, and crusty bread. The dish is a","typically served with rouille, a garlicky mayonnaise, and crusty bread. The dish is a",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"typically served with rouille, a garlicky mayonnaise, and crusty bread. The dish is a","typically served with rouille, a garlicky mayonnaise, and crusty bread. The dish is a",celebration of the sea and is best enjoyed in a seaside restaurant with a view of the,celebration of the sea and is best enjoyed in a seaside restaurant with a view of the,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
celebration of the sea and is best enjoyed in a seaside restaurant with a view of the,celebration of the sea and is best enjoyed in a seaside restaurant with a view of the,Mediterranean.,Mediterranean.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Mediterranean.,Mediterranean.,"Ratatouille: A vegetable stew made with eggplant, zucchini, bell peppers, tomatoes,","Ratatouille: A vegetable stew made with eggplant, zucchini, bell peppers, tomatoes,",4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Ratatouille: A vegetable stew made with eggplant, zucchini, bell peppers, tomatoes,","Ratatouille: A vegetable stew made with eggplant, zucchini, bell peppers, tomatoes,","and onions, seasoned with herbs de Provence. Ratatouille can be served as a main","and onions, seasoned with herbs de Provence. Ratatouille can be served as a main",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"and onions, seasoned with herbs de Provence. Ratatouille can be served as a main","and onions, seasoned with herbs de Provence. Ratatouille can be served as a main","dish or as a side, and it pairs beautifully with grilled meats or fish. The dish is a","dish or as a side, and it pairs beautifully with grilled meats or fish. The dish is a",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"dish or as a side, and it pairs beautifully with grilled meats or fish. The dish is a","dish or as a side, and it pairs beautifully with grilled meats or fish. The dish is a","testament to the region's love for fresh, seasonal produce.","testament to the region's love for fresh, seasonal produce.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"testament to the region's love for fresh, seasonal produce.","testament to the region's love for fresh, seasonal produce.","Salade Niçoise: A refreshing salad with tuna, hard-boiled eggs, tomatoes, green beans,","Salade Niçoise: A refreshing salad with tuna, hard-boiled eggs, tomatoes, green beans,",4.41,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Salade Niçoise: A refreshing salad with tuna, hard-boiled eggs, tomatoes, green beans,","Salade Niçoise: A refreshing salad with tuna, hard-boiled eggs, tomatoes, green beans,","olives, and anchovies, dressed with olive oil and vinegar. Salade Niçoise is a perfect","olives, and anchovies, dressed with olive oil and vinegar. Salade Niçoise is a perfect",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"olives, and anchovies, dressed with olive oil and vinegar. Salade Niçoise is a perfect","olives, and anchovies, dressed with olive oil and vinegar. Salade Niçoise is a perfect","example of the Mediterranean diet, which emphasizes fresh vegetables, lean proteins,","example of the Mediterranean diet, which emphasizes fresh vegetables, lean proteins,",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"example of the Mediterranean diet, which emphasizes fresh vegetables, lean proteins,","example of the Mediterranean diet, which emphasizes fresh vegetables, lean proteins,",and healthy fats. It's a light yet satisfying dish that is perfect for a warm summer day.,and healthy fats. It's a light yet satisfying dish that is perfect for a warm summer day.,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
and healthy fats. It's a light yet satisfying dish that is perfect for a warm summer day.,and healthy fats. It's a light yet satisfying dish that is perfect for a warm summer day.,"Socca: A thin, crispy pancake made from chickpea flour, olive oil, and water, typically","Socca: A thin, crispy pancake made from chickpea flour, olive oil, and water, typically",4.41,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Socca: A thin, crispy pancake made from chickpea flour, olive oil, and water, typically","Socca: A thin, crispy pancake made from chickpea flour, olive oil, and water, typically",enjoyed as a street food in Nice. Socca is cooked in a wood-fired oven and is best,enjoyed as a street food in Nice. Socca is cooked in a wood-fired oven and is best,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
enjoyed as a street food in Nice. Socca is cooked in a wood-fired oven and is best,enjoyed as a street food in Nice. Socca is cooked in a wood-fired oven and is best,"eaten hot, straight from the oven. It's a simple yet delicious snack that showcases the","eaten hot, straight from the oven. It's a simple yet delicious snack that showcases the",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"eaten hot, straight from the oven. It's a simple yet delicious snack that showcases the","eaten hot, straight from the oven. It's a simple yet delicious snack that showcases the","region's love for humble, rustic dishes.","region's love for humble, rustic dishes.",1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"region's love for humble, rustic dishes.","region's love for humble, rustic dishes.","Cassoulet: A hearty casserole from the Languedoc region, made with white beans,","Cassoulet: A hearty casserole from the Languedoc region, made with white beans,",4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Cassoulet: A hearty casserole from the Languedoc region, made with white beans,","Cassoulet: A hearty casserole from the Languedoc region, made with white beans,","sausage, and duck or pork. Cassoulet is a labor of love, requiring hours of slow","sausage, and duck or pork. Cassoulet is a labor of love, requiring hours of slow",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"sausage, and duck or pork. Cassoulet is a labor of love, requiring hours of slow","sausage, and duck or pork. Cassoulet is a labor of love, requiring hours of slow","cooking to develop its rich, complex flavors. The dish is a comforting and satisfying","cooking to develop its rich, complex flavors. The dish is a comforting and satisfying",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"cooking to develop its rich, complex flavors. The dish is a comforting and satisfying","cooking to develop its rich, complex flavors. The dish is a comforting and satisfying",meal that is perfect for a chilly evening.,meal that is perfect for a chilly evening.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
